lum_reg_n,lum_year,luc_name,sum
Tasman,2008,Planted Forest - Pre-1990,85436.26836881396
Tasman,2008,Grassland - High producing,66606.56194623546
Tasman,2008,Grassland - With woody biomass,25698.59146125447
Tasman,2008,Post 1989 Forest,18029.50394046266
Tasman,2008,Other,16226.27054203746
Tasman,2008,Cropland - Perennial,9582.57950876747
Tasman,2008,Wetland - Open water,8120.76920271856
Tasman,2008,Settlements,2710.06037215417
Tasman,2008,Wetland - Vegetated non forest,2301.12202661516
Tasman,2008,Cropland - Annual,1320.38858471602
Waikato,2008,Grassland - High producing,971266.80123688710
Waikato,2008,Natural Forest,630697.90072923932
Waikato,2008,Grassland - Low producing,342437.08844172691
Waikato,2008,Planted Forest - Pre-1990,279002.17392953614
Waikato,2008,Wetland - Open water,83619.42077092401
Waikato,2008,Post 1989 Forest,44469.85813531965
Waikato,2008,Grassland - With woody biomass,37600.94005356747
Waikato,2008,Settlements,22578.14573967224
Waikato,2008,Cropland - Annual,14109.27431481502
Waikato,2008,Other,13672.82577670100
Waikato,2008,Wetland - Vegetated non forest,8227.27137290182
Waikato,2008,Cropland - Perennial,2320.25455665722
Wellington,2008,Natural Forest,290914.40336669802
Wellington,2008,Grassland - Low producing,198520.83281130480
Wellington,2008,Grassland - High producing,175582.16217767900
Wellington,2008,Planted Forest - Pre-1990,41367.53982441577
Wellington,2008,Grassland - With woody biomass,39192.38259555865
Wellington,2008,Post 1989 Forest,28790.88319733578
Wellington,2008,Settlements,19798.25399127470
Wellington,2008,Wetland - Open water,11594.96082232861
Wellington,2008,Cropland - Annual,2345.48721133932
Wellington,2008,Other,1761.62455614157
Wellington,2008,Cropland - Perennial,1716.13828426176
Wellington,2008,Wetland - Vegetated non forest,1214.61419271995
West Coast,2008,Natural Forest,1520232.03488269550
West Coast,2008,Grassland - Low producing,347171.29422311430
West Coast,2008,Other,161895.50488990013
West Coast,2008,Grassland - With woody biomass,135436.57893752558
West Coast,2008,Grassland - High producing,68428.87299639348
West Coast,2008,Wetland - Open water,39535.35859969931
West Coast,2008,Planted Forest - Pre-1990,29735.23392545833
West Coast,2008,Wetland - Vegetated non forest,19825.49349774793
West Coast,2008,Post 1989 Forest,10620.20740011775
West Coast,2008,Settlements,2951.15624482947
West Coast,2008,Cropland - Annual,35.98228973127
West Coast,2008,Cropland - Perennial,24.47582993133
